70.000  nan -0.000 -0.000 -0.001 -0.028 -0.025
71.000  nan -0.000 -0.000 -0.001 -0.027 -0.024
72.000  nan -0.000 -0.000 -0.001 -0.025 -0.023
73.000  nan -0.000 -0.000 -0.001 -0.024 -0.357
74.000  nan -0.000 0.002 -0.026 -0.023 -0.334
75.000  nan -0.000 -0.001 -0.024 -0.021 -0.311
76.000  nan -0.000 -0.001 -0.023 1.606 -0.289
77.000  nan -0.000 -0.001 -0.022 -0.315 -0.266
78.000  nan 0.000 -0.001 -0.020 -0.292 -0.243
79.000  nan -0.000 -0.022 -0.019 -0.270 -0.220
80.000  nan -0.000 -0.021 -0.297 -0.247 10.675
81.000  nan -0.000 -0.019 -0.274 -0.224 -1.220
82.000  nan -0.000 -0.018 -0.251 -0.201 -1.062
83.000  nan -0.000 -0.017 -0.229 11.102 -0.903
84.000  nan -0.000 1.782 -0.206 -1.086 -0.744
85.000  nan -0.000 -0.235 -0.183 -0.928 -0.586
86.000  nan -0.016 -0.212 11.527 -0.769 -0.427
87.000  nan -0.014 -0.189 -0.960 -0.610 -0.268
88.000  nan -0.013 -0.166 -0.802 -0.452 -0.110
89.000  nan -0.012 -0.144 -0.643 -0.293 30.429
90.000  nan -0.174 -0.843 -0.484 -0.134 0.654
91.000  nan -0.151 -0.684 -0.326 31.087 1.154
92.000  nan -0.128 -0.526 -0.167 0.577 1.654
93.000  nan -0.105 -0.367 31.737 1.077 2.154
94.000  nan -0.576 -0.208 0.473 1.577 2.654
95.000  nan -0.417 -0.050 0.973 2.077 3.154
96.000  nan -0.258 0.343 1.473 2.577 3.654
97.000  nan -0.100 0.843 1.973 3.077 4.154
98.000  nan 0.186 1.343 2.473 3.577 38.106
99.000  nan 0.686 1.843 2.973 37.870 8.673
100.000  nan 1.186 2.343 3.473 7.701 9.514
101.000  nan 1.686 2.843 6.686 8.543 10.355
102.000  nan 37.003 5.626 7.527 9.384 11.197
103.000  nan 4.519 6.467 8.369 10.225 12.038
104.000  nan 5.361 7.308 9.210 11.067 12.879
105.000  nan 6.202 8.150 10.051 11.908 13.721
106.000  nan 7.043 8.991 10.893 12.749 14.562
107.000  nan 9.158 9.832 11.734 13.591 15.403
108.000  nan 10.135 25.352 12.576 14.432 30.922
109.000  nan 11.113 13.375 15.584 30.087 19.846
110.000  nan 12.090 14.352 16.561 18.718 20.823
111.000  nan 13.067 15.330 17.539 19.695 21.800
112.000  nan 14.352 16.307 18.516 20.672 22.778
113.000  nan 15.351 17.284 19.493 21.650 23.755
114.000  nan 16.349 18.261 20.470 22.627 24.732
115.000  nan 17.348 21.700 21.448 23.604 25.709
116.000  nan 18.347 20.659 22.425 24.581 26.687
117.000  nan 19.371 21.657 23.402 25.559 27.664
118.000  nan 20.371 22.656 24.913 26.536 28.641
119.000  nan 21.371 23.655 25.912 30.060 29.618
120.000  nan 22.371 24.653 26.911 29.114 33.164
121.000  nan 23.371 25.652 27.909 30.113 32.264
122.000  nan 24.374 26.651 28.908 31.112 33.263
123.000  nan 25.371 27.686 29.906 32.110 34.262
124.000  nan 26.371 28.686 30.905 33.109 35.260
125.000  nan 27.371 29.686 31.904 34.107 36.259
126.000  nan 28.371 30.686 32.902 35.106 37.258
127.000  nan 29.371 31.686 34.069 36.105 38.256
128.000  nan 30.371 32.686 34.946 37.103 39.255
129.000  nan 31.371 33.686 35.946 38.102 40.254
130.000  nan 32.371 34.686 36.946 39.272 41.252
